scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,0,1000,1.0000006224109155e-05,1.5494904646345461e-09,0.22636007583839968,0.003080227413143821,42,10000
SerialConstant,200,0,1000,1.9999999804632493e-05,2.1027832590792993e-09,0.19839504509476294,0.0030994493369858977,42,10000
SerialConstant,200,0,1000,2.9999995434551575e-05,2.398451481285241e-09,0.1589047536831335,0.003122128720332324,42,10000
SerialConstant,200,0,1000,4.000000461275449e-05,2.6064985409364555e-09,0.12698139704255101,0.003136710701855012,42,10000
SerialConstant,200,0,1000,5.000000534887943e-05,2.7345506986685408e-09,0.12238325587419915,0.0031385379391086236,42,10000
SerialConstant,200,0,1000,6.0000001908003284e-05,2.8473114876057513e-09,0.10764415898509656,0.0031439346425879548,42,10000
SerialConstant,200,0,1000,7.000000836410411e-05,2.919981519001056e-09,0.08972509294925848,0.003149554328917329,42,10000
SerialConstant,200,0,1000,7.999999463020454e-05,2.969655992258636e-09,0.08148257277692114,0.003151793866899948,42,10000
SerialConstant,200,0,1000,8.999999503378488e-05,3.021518337571901e-09,0.07722142384260001,0.0031528665256150288,42,10000
SerialConstant,200,0,1000,0.0001000000027663125,3.044694779935888e-09,0.07074990031011254,0.003154384808315477,42,10000
SerialConstant,200,0,1000,0.00010999999492990371,3.08154312755183e-09,0.06377704141700025,0.0031558713662572734,42,10000
SerialConstant,200,0,1000,0.0001199999878016643,3.107838142990217e-09,0.05428953158277285,0.003157645623264725,42,10000
SerialConstant,200,0,1000,0.0001299999906622374,3.1240436320793233e-09,0.06179583410694887,0.0031562655130882205,42,10000
SerialConstant,200,0,1000,0.00013999999362471162,3.1273634738140762e-09,0.05174383456961232,0.003158073023909487,42,10000
SerialConstant,200,0,1000,0.0001500000198252105,3.1775509000389783e-09,0.05150177580535844,0.0031581125921017815,42,10000
SerialConstant,200,0,1000,0.00016000002275178745,3.1799368354818523e-09,0.049928866457631525,0.0031583651765358495,42,10000
SerialConstant,200,0,1000,0.00017000000665694725,3.1957922315706683e-09,0.042229830494650095,0.003159488259431448,42,10000
SerialConstant,200,0,1000,0.00017999997859708723,3.2065370330694466e-09,0.044320542926464895,0.0031592018779870892,42,10000
SerialConstant,200,0,1000,0.00019000000355982007,3.223968034424332e-09,0.03899138343434791,0.0031599044954091823,42,10000
SerialConstant,200,0,1000,0.0001999999960689301,3.225677713296037e-09,0.03602835086088448,0.0031602562117222276,42,10000
SerialConstant,200,0,1000,0.00021000001085056625,3.2439259332060568e-09,0.03421743487550305,0.0031604574734259965,42,10000
SerialConstant,200,0,1000,0.0002200000010001165,3.2612258882316124e-09,0.04277896061537082,0.0031594143829626956,42,10000
SerialConstant,200,0,1000,0.00023000000575635696,3.2553742800132458e-09,0.027580994509606084,0.0031611062524491956,42,10000
SerialConstant,200,0,1000,0.00024000000790739604,3.2595808506905013e-09,0.02956610863537142,0.0031609268073410435,42,10000
